epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2802,2.55393,4.30094,1.9182,0.00276,0.82653,0.00441,0.00161,1.79715,3.84152,1.34615,0.00024,0.00024,0.00024
2,12.9046,1.99527,2.53508,1.516,0.00323,0.96939,0.01008,0.0041,1.57085,3.81988,1.28178,0.000497525,0.000497525,0.000497525
3,14.5117,1.77848,1.77669,1.43903,0.00289,0.86735,0.00538,0.00205,1.7278,3.96017,1.41842,0.000752476,0.000752476,0.000752476
4,16.1069,1.62694,1.52695,1.37102,0.00313,0.93878,0.00778,0.00326,1.78105,8.43457,1.45274,0.00100485,0.00100485,0.00100485
5,17.645,1.55581,1.38053,1.31848,0.00313,0.93878,0.00894,0.00477,1.33834,4.47292,1.30198,0.00125466,0.00125466,0.00125466
6,19.1944,1.41725,1.2737,1.27774,0.00327,0.97959,0.07464,0.04664,1.24817,3.15392,1.27928,0.00150189,0.00150189,0.00150189
7,20.9204,1.44865,1.22696,1.27808,1,0.09507,0.88159,0.4761,1.51096,2.65223,1.47572,0.00174654,0.00174654,0.00174654
8,22.5272,1.42815,1.17011,1.26283,1,0.41595,0.86864,0.47307,1.48012,2.29489,1.45368,0.0019307,0.0019307,0.0019307
9,24.0642,1.40162,1.07713,1.25895,0.97622,0.83772,0.92387,0.54562,1.40212,1.53864,1.405,0.0019208,0.0019208,0.0019208
10,25.6149,1.31575,1.00548,1.22414,0.9893,0.97959,0.98793,0.62518,1.34015,0.97155,1.3337,0.0019109,0.0019109,0.0019109
11,27.1498,1.36012,0.95061,1.23191,1,0.9872,0.99162,0.66064,1.26975,0.79814,1.27457,0.001901,0.001901,0.001901
12,28.6917,1.33621,0.87159,1.20186,0.98896,0.91414,0.98304,0.62362,1.25969,0.75735,1.25297,0.0018911,0.0018911,0.0018911
13,30.2293,1.2738,0.82314,1.19688,0.98735,0.9898,0.99223,0.62871,1.23329,0.74385,1.26937,0.0018812,0.0018812,0.0018812
14,31.76,1.24389,0.79232,1.17753,0.98759,1,0.99318,0.62916,1.26999,0.67496,1.28739,0.0018713,0.0018713,0.0018713
15,33.2826,1.23513,0.78825,1.17465,0.97116,0.90816,0.9656,0.59482,1.37718,0.948,1.34315,0.0018614,0.0018614,0.0018614
16,34.8242,1.20565,0.76264,1.16873,0.9503,0.97959,0.97803,0.59801,1.32241,1.00381,1.35515,0.0018515,0.0018515,0.0018515
17,36.3498,1.23406,0.74792,1.1658,0.86605,0.98958,0.97379,0.56218,1.36908,0.84254,1.3748,0.0018416,0.0018416,0.0018416
18,37.8779,1.22292,0.74721,1.15988,0.90424,0.96359,0.96481,0.50587,1.59454,0.73797,1.51932,0.0018317,0.0018317,0.0018317
19,39.3935,1.15874,0.7027,1.13467,0.96251,0.93878,0.94908,0.47138,1.81686,0.76538,1.67342,0.0018218,0.0018218,0.0018218
20,40.9191,1.17474,0.69737,1.15189,0.89956,0.71429,0.81242,0.39656,1.97901,0.92568,1.7658,0.0018119,0.0018119,0.0018119
21,42.4358,1.11887,0.67309,1.10804,0.79222,0.81633,0.87709,0.39954,1.85094,1.02529,1.71239,0.001802,0.001802,0.001802
22,43.962,1.09434,0.66783,1.10086,0.90972,0.82262,0.92773,0.42122,1.93141,1.13504,1.67952,0.0017921,0.0017921,0.0017921
23,45.4763,1.15099,0.66054,1.1269,0.96926,0.9651,0.97427,0.61507,1.41564,0.6128,1.3634,0.0017822,0.0017822,0.0017822
24,47.0007,1.16309,0.64054,1.10939,0.96492,0.97959,0.97666,0.63306,1.28613,0.58253,1.29444,0.0017723,0.0017723,0.0017723
