epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.96784,1.19467,3.71829,1.23391,0.00303,0.90909,0.01267,0.00817,0.38518,3.26119,0.84564,2e-05,2e-05,2e-05
2,9.23553,1.31531,3.80185,1.30571,0.00303,0.90909,0.00657,0.00487,0.38011,3.25658,0.84842,5.9703e-05,5.9703e-05,5.9703e-05
3,9.49596,1.28274,3.74729,1.36092,0.00303,0.90909,0.00874,0.00527,0.42016,3.27043,0.8494,9.901e-05,9.901e-05,9.901e-05
4,9.7798,1.02855,3.6846,1.10683,0.00333,1,0.0065,0.00441,0.51807,3.28502,0.86623,0.000137921,0.000137921,0.000137921
5,10.0605,1.02858,3.30407,0.98657,0.00333,1,0.01345,0.00632,0.61031,3.26565,0.89496,0.000176436,0.000176436,0.000176436
6,10.3404,0.93719,2.96944,0.97948,0.00333,1,0.1603,0.11743,0.80073,3.2473,0.9697,0.000214555,0.000214555,0.000214555
7,10.622,1.03498,2.66755,0.98231,0.00333,1,0.52879,0.39897,0.78425,3.16938,0.9273,0.000252278,0.000252278,0.000252278
8,10.9065,0.92091,2.41567,1.02031,0.00333,1,0.87039,0.6154,0.78222,3.00046,0.87668,0.000289605,0.000289605,0.000289605
9,11.192,0.9881,1.97525,0.93612,0.00333,1,0.82734,0.57296,0.7453,2.90091,0.88143,0.000326536,0.000326536,0.000326536
10,11.4725,0.94857,1.67555,0.9545,0.00303,0.90909,0.8397,0.56829,0.78449,2.98358,0.90872,0.000363071,0.000363071,0.000363071
11,11.7556,0.89402,1.44141,0.95833,0.00303,0.90909,0.83938,0.51573,0.81717,2.98958,0.93658,0.00039921,0.00039921,0.00039921
12,12.0368,0.95261,1.35645,1.00187,0.00303,0.90909,0.85606,0.52968,0.75555,2.96254,0.89436,0.000434953,0.000434953,0.000434953
13,12.3178,0.8811,1.4448,1.0247,0.00303,0.90909,0.85606,0.54536,0.6883,3.02032,0.90965,0.0004703,0.0004703,0.0004703
14,12.5995,0.82899,1.27437,0.96091,0.00303,0.90909,0.86515,0.61224,0.5874,3.01404,0.86721,0.000505251,0.000505251,0.000505251
15,12.8801,0.85555,1.33037,0.94429,0.00303,0.90909,0.61091,0.37707,0.82816,3.06132,0.90938,0.000539806,0.000539806,0.000539806
16,13.1628,0.91875,1.26992,0.97815,0.00303,0.90909,0.07103,0.03781,0.7327,3.11668,0.90093,0.000573965,0.000573965,0.000573965
17,13.4446,0.94766,1.31887,1.02288,0.00303,0.90909,0.03259,0.02064,0.61092,3.1149,0.87378,0.000607728,0.000607728,0.000607728
18,13.7417,0.84944,1.27544,0.95364,0.00303,0.90909,0.03536,0.02166,0.63317,3.08097,0.89146,0.000641095,0.000641095,0.000641095
19,14.0244,0.72314,1.14481,0.93846,0.00303,0.90909,0.06832,0.04145,0.65807,3.00365,0.8838,0.000674066,0.000674066,0.000674066
20,14.307,0.88855,1.1634,0.94908,0.00333,1,0.15255,0.09283,0.68812,2.98849,0.88774,0.000706641,0.000706641,0.000706641
21,14.5905,0.81907,1.15805,0.93022,0.00333,1,0.28079,0.20121,0.70107,3.01293,0.88572,0.00073882,0.00073882,0.00073882
22,14.8736,0.80961,1.05484,0.93187,0.00333,1,0.21152,0.14648,0.69145,3.03791,0.88679,0.000770603,0.000770603,0.000770603
23,15.1582,0.78115,1.22423,0.9588,0.00333,1,0.15362,0.09678,0.69294,2.99223,0.88583,0.00080199,0.00080199,0.00080199
24,15.4394,0.93067,1.17448,1.01014,0.00333,1,0.20455,0.12708,0.67159,2.91017,0.90499,0.000832981,0.000832981,0.000832981
25,15.7232,0.8527,1.1813,0.93169,0.00333,1,0.11064,0.06749,0.74466,2.92063,0.94684,0.000863576,0.000863576,0.000863576
26,15.997,0.81559,1.0692,0.90693,0.00333,1,0.19332,0.09474,0.79512,2.89194,0.96168,0.000893775,0.000893775,0.000893775
27,16.2702,0.84121,1.10883,0.91485,0.00333,1,0.33111,0.15481,0.80182,2.86859,0.97381,0.000923578,0.000923578,0.000923578
28,16.5417,0.76359,0.94954,0.89886,0.00333,1,0.39096,0.33121,0.73152,2.79461,0.94397,0.000952985,0.000952985,0.000952985
29,16.8152,0.7784,1.04571,0.9236,0.00333,1,0.6354,0.53105,0.69815,2.7583,0.94252,0.000981996,0.000981996,0.000981996
30,17.0864,0.80219,0.98048,0.92553,0.00333,1,0.72374,0.60629,0.68741,2.66176,0.95002,0.00101061,0.00101061,0.00101061
31,17.3562,0.74978,1.0385,0.93174,0.00303,0.90909,0.73378,0.6414,0.64315,2.5694,0.95525,0.00103883,0.00103883,0.00103883
32,17.631,0.78185,0.94131,0.90624,0.12131,0.90909,0.80802,0.73168,0.65964,2.44994,0.97345,0.00106665,0.00106665,0.00106665
33,17.9054,0.76244,0.93742,0.90377,0.88852,0.72487,0.79742,0.72303,0.66886,2.39601,0.9978,0.00109408,0.00109408,0.00109408
34,18.1757,0.73776,0.9768,0.90763,0.88529,0.70371,0.77841,0.72481,0.52082,2.43421,0.91619,0.00112111,0.00112111,0.00112111
35,18.4507,0.66748,0.97407,0.89633,0.87345,0.62849,0.77199,0.71776,0.54687,2.43237,0.90116,0.00114775,0.00114775,0.00114775
